"HMCD","TKCD","BUCD","SKHIASU","COLOR","SU"
"00072-13104","43024",,,,
"00072-13104-K","43024",,,,
"00072-19009","43024",,,,
"00072-19009-K","43024","I42",,,
"00072-33194","43024","N8-41",,,
"00072-33194-K","43024","N9-22",,,
"00250-22167","C0101",,,,
"00250-45497","C0101",,,,
"00428-10030","14010",,,,
"01023-50616","C0102",,,,
"01350-63316","C0150","1-7-2",,,
"01350-63652","C0150",,,,
"01350-63652-1","C0150",,,,
"01350-63822","C0150",,,,
"01350-63822-1","C0150",,,,
"01430-08019","14010","B1-44",,,
"01432-10019-K","14010",,,,
"0143210019","C3001","S21",,,
"018210-04-01","C0500",,,,
"01952-00816","14010","石黒",,,
"01D00","40005",,,,
"01D01","40005",,,,
"01D30","40005",,,,
"01D31","40005",,,,
"01D40","40005",,,,
"01D41","40005",,,,
"02114-00080KK","C0101",,,,
"02320-16852","C0150",,,,
"02320-16852-1","C0150",,,,
"02320-16852-2","C0150",,,,
"02320-16852-3","C0105",,,,
"02320-18981","C0150",,"ｼﾛ5","ｼﾛ","5"
"02320-18981-1","C0150",,,,
"02320-18981-2","C0150",,,,
"02320-18981-3","C0150",,,,
"02320-18981-4","C0105",,,,
"02320-18981-5","C0150",,,,
"02500-17212","C0150","1-7-2",,,
"02992-00060","C0102",,,,
"03270-00112","43024",,"ｼﾛ10","ｼﾛ","10"
"03270-00139","43024",,,,
"03270-00140","43024",,"ｼﾛ10","ｼﾛ","10"
"03270-00145","43024",,,,
"03280-00088","43024",,"ｼﾛ10","ｼﾛ","10"
"03280-00089","43024",,,,
"03280-00090","43024",,,,
"03280-00091","43024",,,,
"03280-00110","43024",,,,
"03370-00246","43024",,,,
"03370-00247","43024",,,,
"03452-00017","43024","1-13-4","ｱｵ5","ｱｵ","5"
"03452-00017-4","43024",,,,
"03452-00018","43024","O1-43",,,
"03470-00079","43024","1-13-4","ﾐﾄﾞ10混","ﾐﾄﾞ","10"
"03470-00081","43024",,,,
"03470-00089","43024","1-13-4","ﾑﾗ10","ﾑﾗ","10"
"03470-00090","43024",,,,
"03470-00092","43024","1-13-4","ｼﾛ10混","ｼﾛ","10"
"03470-00168","43024","1-13-4","ｷ10","ｷ","10"
"03470-00169","43024","EE32",,,
"03470-00170","43024","II32",,,
"03470-00261","43024","1-13-4","ｼﾛ10","ｼﾛ","10"
"03470-00262","43024","EE11",,,
"0353J-00087","C0150","B12","ｼﾛ10","ｼﾛ","10"
"0353J-00087-00","C0150","A1-14",,,
"0353J-00087-01","C0150","A1-21",,,
"03540-01140","C0150","B12","ｺﾞﾑ100",,"100"
"03540-01150","C0150","B12","ｺﾞﾑ100",,"100"
"03540-02010","C0150","B12","ｼﾛ100","ｼﾛ","100"
"03620-8005A","C0150",,"ｱｵ5","ｱｵ","5"
"03620-8006A","C0150",,"ﾐﾄﾞ5","ﾐﾄﾞ","5"
"03620-8008A","C0150",,"ﾑﾗ5","ﾑﾗ","5"
"03620-8011A","C0150",,"ｼﾛ5","ｼﾛ","5"
"03620-8012A","C0150",,"ｷ5","ｷ","5"
"03620-8013A","C0150",,"ｼﾛ5","ｼﾛ","5"
"0375J-08003","C0150","2-7-2","ｺﾞﾑ100",,"100"
"0375M-08003","C0150",,,,
"03950-00274","43024",,"ｼﾛ5","ｼﾛ","5"
"03F01","40005",,,,
"03F02","40005",,,,
"04013-50060","C0101",,,,
"04136-00416","14010",,,,
"04136-00620","14010",,,,
"04828-10115","14010",,,,
"04828-10620","14010",,,,
"04F00","40005",,,,
"04K21","40005",,,,
"04K40","40005",,,,
"05122-50630","C0102","I32",,,
"05122-50630-10","C0102","I32",,,
"05262-00093","43024",,,,
"05262-00094","43024","A2-31",,,
"05262-00095","43024",,,,
"05262-00096","43024",,,,
"05572-00081","43024",,"ﾑﾗ10","ﾑﾗ","10"
"05572-00082","43024",,,,
"05646-00207","43024",,,,
"05646-00306","43024",,,,
"05719-52741","C0150",,"ｼﾛ5","ｼﾛ","5"
"05719-52741-1","C0150",,,,
"05719-52741-2","C0150",,,,
"05719-52741-3","C0150",,,,
"0571J-51451","C0150",,"ｼﾛ5","ｼﾛ","5"
"0571J-51451-1","C0150","G22",,,
